Die Toten Hosen,Hier Kommt Alex,Eu Bonus,Rock Band 1
Muse,Hysteria,Eu Bonus,Rock Band 1
Les Wampas,Manu Chao,Eu Bonus,Rock Band 1
Tokio Hotel,Monsoon,Eu Bonus,Rock Band 1
Pleymo,New Wave,Eu Bonus,Rock Band 1
Juli,Perfekte Welle,Eu Bonus,Rock Band 1
Oasis,Rock 'n' Roll Star,Eu Bonus,Rock Band 1
Blink-182,All the Small Things,???,Rock Band TP1
Weezer,Buddy Holly,???,Rock Band TP1
Kiss,Calling Dr. Love,???,Rock Band TP1
Paramore,Crushcrushcrush,???,Rock Band TP1
The Hives,"Die, All Right!",???,Rock Band TP1
Lynyrd Skynyrd,Gimme Three Steps,???,Rock Band TP1
Stone Temple Pilots,Interstate Love Song,???,Rock Band TP1
Wolfmother,Joker & the Thief,???,Rock Band TP1
Queens of the Stone Age,Little Sister,???,Rock Band TP1
Oasis,Live Forever,???,Rock Band TP1
Nine Inch Nails,March of the Pigs,???,Rock Band TP1
David Bowie,Moonage Daydream,???,Rock Band TP1
Boston,More Than a Feeling,???,Rock Band TP1
The All-American Rejects,Move Along,???,Rock Band TP1
Smashing Pumpkins,Siva,???,Rock Band TP1
The Police,Synchronicity II,???,Rock Band TP1
Ramones,Teenage Lobotomy,???,Rock Band TP1
30 Seconds to Mars,The Kill,???,Rock Band TP1
Grateful Dead,Truckin',???,Rock Band TP1
Faith No More,We Care a Lot,???,Rock Band TP1
Avenged Sevenfold,Afterlife,???,Rock Band TP2
Blondie,Call Me,???,Rock Band TP2
Weezer,El Scorcho,???,Rock Band TP2
Devo,Girl U Want,???,Rock Band TP2
Maxïmo Park,Girls Who Play Guitars,???,Rock Band TP2
Disturbed,Indestructible,???,Rock Band TP2
Angels & Airwaves,It Hurts,???,Rock Band TP2
The Cars,Just What I Needed,???,Rock Band TP2
The Police,Message in a Bottle,???,Rock Band TP2
Pixies,Monkey Gone to Heaven,???,Rock Band TP2
Duran Duran,Rio,???,Rock Band TP2
Mötley Crüe,Saints of Los Angeles,???,Rock Band TP2
Lynyrd Skynyrd,Simple Man,???,Rock Band TP2
Red Hot Chili Peppers,Snow ((Hey Oh)),???,Rock Band TP2
Nine Inch Nails,The Perfect Drug,???,Rock Band TP2
Fall Out Boy,"This Ain't a Scene, It's an Arms Race",???,Rock Band TP2
